file,question,score
n03-sch-sym8-p01-c08.txt,Q7,8.5263157895
n03-sch-sym8-p01-c08.txt,Q8,8.5178571429
n03-sch-sym8-p01-c08.txt,Q9,8.4035087719
n03-sch-sym8-p01-c12.txt,Q1,7.3333333333
n03-sch-sym8-p01-c12.txt,Q2,8.2280701754
n03-sch-sym8-p01-c12.txt,Q3,7.5614035088
n03-sch-sym8-p01-c12.txt,Q4,8.3684210526
n03-sch-sym8-p01-c12.txt,Q5,7.0526315789
n03-sch-sym8-p01-c12.txt,Q6,6.6315789474
n03-sch-sym8-p01-c12.txt,Q7,8.3684210526
n03-sch-sym8-p01-c12.txt,Q8,7.5178571429
n03-sch-sym8-p01-c12.txt,Q9,7.7192982456
n03-sch-sym8-p02-c04.txt,Q1,6.5535714286
n03-sch-sym8-p02-c04.txt,Q2,6.8392857143
n03-sch-sym8-p02-c04.txt,Q3,6.3392857143
n03-sch-sym8-p02-c04.txt,Q4,7.7090909091
n03-sch-sym8-p02-c04.txt,Q5,5.75
n03-sch-sym8-p02-c04.txt,Q6,6.6785714286
n03-sch-sym8-p02-c04.txt,Q7,7.9454545455
n03-sch-sym8-p02-c04.txt,Q8,6.9454545455
n03-sch-sym8-p02-c04.txt,Q9,6.0535714286
n03-sch-sym8-p02-c08.txt,Q1,7.4545454545
n03-sch-sym8-p02-c08.txt,Q2,7.0909090909
n03-sch-sym8-p02-c08.txt,Q3,7.2181818182
n03-sch-sym8-p02-c08.txt,Q4,8.0545454545
n03-sch-sym8-p02-c08.txt,Q5,7.4
n03-sch-sym8-p02-c08.txt,Q6,7.4909090909
n03-sch-sym8-p02-c08.txt,Q7,8.4259259259
n03-sch-sym8-p02-c08.txt,Q8,8
n03-sch-sym8-p02-c08.txt,Q9,7.5454545455
n03-sch-sym8-p03-c04.txt,Q1,6.3469387755
n03-sch-sym8-p03-c04.txt,Q2,6.4285714286
n03-sch-sym8-p03-c04.txt,Q3,5.7755102041
